title,description,publishedAt,thumbnails,country,relatedPlaylists,topicCategories
Abebe Belew,ADDIS DIMTS Multimedia,2012-08-23T23:11:19Z,https://yt3.ggpht.com/ytc/AL5GRJWC_yh_yH7PvFZLOwHrZUONse5BQM4QHw7Bw43q9A=s800-c-k-c0x00ffffff-no-rj,US,UUxIn6j4tH1dVnqLd1WFvFNA,['https://en.wikipedia.org/wiki/Society']
Adebabay Media,"አደባባይ ሚዲያ በዩ.ኤስ አሜሪካ በቴክሳስ ጠቅላይ ግዛት የተቋቋመ ትርፍ አልባ (nonprofit Media) የሚዲያ ድርጅት ነው። በኢትዮጵያውያን እና በኢትዮጵያውያን-አሜሪካውያን የተቋቋመው አደባባይ ሚዲያ ሚዛናዊና የነጠረ እውነታ (fair, balanced and Fact-checked news and views) ላይ በማቅረብ ላይ የተመሠረተ ነው።",2019-11-14T00:41:33.76558Z,https://yt3.ggpht.com/ytc/AL5GRJXbgolRHIO3O4a6wHtrt93Bl2Htp-n2bWOdtsDt=s800-c-k-c0x00ffffff-no-rj,US,UU-kDmfnktrzc_SGpS9ulrXw,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Religion']"
Alpha Media አልፋ ሚዲያ,,2022-01-03T13:41:52.318843Z,https://yt3.ggpht.com/9Ax2jQcjOrCWX5sb_6Ilhn2onJKtjwteKVMpNrKG7lK0OsdRTIJpUc21IXT3q1WXnFHq5Gi1Ig=s800-c-k-c0x00ffffff-no-rj,US,UUUyDe7EvbwwDRjyjUFU5Zhw,['https://en.wikipedia.org/wiki/Society']
Andafta,"Andafta Is Ethiopian multi-platform entertainment and media company ,Powered by its own proprietary technology. Andafta is the go-to source for tech, digital culture and entertainment content for its dedicated and influential audience around the nation as well for the globe.",2017-07-07T08:46:55Z,https://yt3.ggpht.com/ytc/AL5GRJUBb2pSoFHOgjzlvGr9qix0mrYlHvxp_9CyremO=s800-c-k-c0x00ffffff-no-rj,US,UUwMHDoJO6cHO6LN1BItFsPQ,['https://en.wikipedia.org/wiki/Society']
Arat Kilo Media አራት ኪሎ ሚዲያ ,"Arat Kilo is newly established digital media outlet by the renowned and seasoned Ethiopian journalists. It's a hub for News, Analysis and Interviews. 

Issues about current affairs, Politics and others in and around Ethiopia, Africa and the World will be addressed in detail.

Be subscribed, updated and informed with us. 



#aratkilo
#aratkilomedia

",2021-09-14T20:20:04.908474Z,https://yt3.ggpht.com/an46eXgY7QpJ5XDz5nAGJ5MqvNkzi4a9c4bS9o8bOMF9GuMAoQ2ClegReBNW6x2-tVeTMJNZ=s800-c-k-c0x00ffffff-no-rj,US,UUK71ZGx5VYTWw2XQ0F_O0nQ,['https://en.wikipedia.org/wiki/Society']
Ashara Media - አሻራ ሚዲያ,,2022-05-11T13:20:06.187435Z,https://yt3.ggpht.com/C1Cwzi-rhKsg17sJakFGdCuLmqCbWZX-w7v6rqPjuXW5KiqS98Uk2QFmKbHeLatUJS7mIX9VdQ=s800-c-k-c0x00ffffff-no-rj,US,UUPmgFzP2ZPmdGjHxXjigJaw,['https://en.wikipedia.org/wiki/Society']
EMS (Ethiopian Media Services),"Ethiopian Media Services is publicly funded satellite television station broadcasting 24 hours of news, analysis, and entertainment programs to wider Ethiopian audience across the globe. Ethiopia, a country with a population of close to 120 million people,  Ethiopian Media Services will continue its relentless efforts to produce and broadcast quality programs covering a wide range of issues to its viewers/listeners in Ethiopia and globe.

",2022-02-22T03:19:46.03134Z,https://yt3.ggpht.com/1NMt4K6HoytqQv7k_s7Qd1kk7BhFQlHPJHgnomcY5Gj0PFzqLDUWHWMA5XZt_w25b6ExqGAGSg=s800-c-k-c0x00ffffff-no-rj,US,UUCJbY4YdJIUk7Lygrkg5IRA,['https://en.wikipedia.org/wiki/Society']
ETHIO 251 MEDIA ,"#Ethio_251_Media #Ethiopia #ethiopia_today 
የSubscribe Ethio 251 News Channel 

https://www.youtube.com/channel/UCN300jmMg6DsO2wECkleq0w
ETHIO 251 MEDIA is an independent media offering you News, Political Analysis and Information feeds from Addis Ababa, Ethiopia.

Enjoy our wide collection of Ethiopian, African and worldwide News and more contents by subscribing to our channel.
",2021-01-17T15:07:48.315237Z,https://yt3.ggpht.com/RZpmh--2mLaZIgJzk_Gcw9giYNS6eV8XNfXxzJ9sjNoanEaooswCL8skHcEeIF9zivledwW9Bw=s800-c-k-c0x00ffffff-no-rj,KE,UUUOJQ0kAEqms79eY37hH-Jg,['https://en.wikipedia.org/wiki/Society']
Ethio 360 Media,,2019-06-04T17:59:54Z,https://yt3.ggpht.com/ytc/AL5GRJXBAnHQ2Wuqg2hUOM-P-jMRFtA2Wg_Cl4VI2lqA=s800-c-k-c0x00ffffff-no-rj,US,UUvr6jA3WYOhXFUD2LKpqhQw,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Religion']"
Ethio News - ኢትዮ ኒውስ,"Ethio News provides news, news analysis, opinions on current affairs, produces documentaries, among others, on range of issues in Ethiopia and the Horn of Africa.",2020-11-13T11:38:22.416086Z,https://yt3.ggpht.com/ytc/AL5GRJUm17PVd3RXWmj-t2OPQ_S3ROSJJRvqtxAtPeLd=s800-c-k-c0x00ffffff-no-rj,US,UUelbYFUaQW3eb9sg3004ZGw,['https://en.wikipedia.org/wiki/Society']
